ra,dec,Source_Name,SIMBAD_Name,Final_Type,Astrosat_Flag
8.23375,-73.80527778,J0032.9-7348    ,RX J0032.9-7348,HMXB,0
11.21,33.02138889, 0042+323       ,4U 0042+32,LMXB,0
12.26041667,-72.84777778,J0049-729       ,RX J0049.0-7250,HMXB,0
12.37333333,-73.18222222,J0049-732       ,[MA93]  300,HMXB,0
12.68625,-73.26805556,J0050.7-7316    ,V* DZ Tuc,HMXB,0
12.7325,-72.23194444,J0051-722       ,[MA93]  413,HMXB,0
12.96416667,-73.17722222,J0051.9-7311    ,LIN 193,HMXB,0
12.97083333,-72.52916667,J0051.8-7231    ,AzV 102,HMXB,0
13.02541667,-72.435, 0050-727       ,LIN 198,HMXB,0
13.05791667,-73.32027778,J0052.1-7319    ,LIN 203,HMXB,0
13.225,-71.96888889,J0052.9-7158    ,LIN 221,HMXB,0
13.47916667,-72.44638889,J0053.8-7226    ,RX J0053.9-7226,HMXB,0
13.63916667,-73.68444444, 0053-739       ,X SMC X-2,HMXB,1
13.73404167,-72.441,J0055-724       ,[MA93]  810,HMXB,0
14.45166667,-72.045,J0058-72.0      ,[MA93] 1036,HMXB,0
14.55291667,-72.5125,J0058.2-7231    ,RX J0058.2-7231,HMXB,0
14.79708333,-71.64583333,J0059.2-7138    ,RX J0059.2-7138,HMXB,0
15.25458333,-72.11583333,J0101.0-7206    ,[MA93] 1240,HMXB,0
15.80791667,-72.15388889,J0103-722       ,[MA93] 1367,HMXB,0
16.28708333,-72.19555556,J0105-722       ,RX J0105.1-7211,HMXB,0
17.27541667,-74.74444444, 0103-762       ,1H 0103-762,HMXB,0
17.785,-73.27944444,J0111.2-7317    ,RX J0111.2-7317,HMXB,0
19.27166667,-73.44305556, 0115-737       ,SK  160,HMXB,0
19.4225,-73.51361111,J0117.6-7330    ,[MA93] 1845,HMXB,0
19.51166667,65.28861111, 0114+650       ,V* V662 Cas,HMXB,0
19.63291667,63.74, 0115+634       ,V* V635 Cas,HMXB,0
40.13166667,61.22916667, 0236+610       ,LS   I +61  303,HMXB,0
53.74958333,53.17305556, 0331+530       ,V* BQ Cam,HMXB,0
58.84583333,31.04583333, 0352+309       ,V* X Per,HMXB,0
64.94166667,55.99,J0421+560       ,V* CI Cam,HMXB,0
70.24958333,44.53083333,J0440.9+4431    ,LS   V +44   17,HMXB,0
75.34958333,-70.55916667,J0501.6-7034    ,SV* HV  2289,HMXB,0
75.715,-66.44027778,J0502.9-6626    ,RX J0502.9-6626,HMXB,0
78.17416667,-67.28972222,J0512.6-6717    ,RX J0512.6-6717,HMXB,0
78.5275,-40.04361111, 0512-401       ,4U 0513-40,LMXB,1
79.00041667,-69.26916667,J0516.0-6916    ,RX J0516.0-6916,HMXB,0
80.12166667,-71.96, 0521-720       ,X LMC X-2,LMXB,1
80.64666667,37.67611111, 0521+373       ,HD  34921,HMXB,0
82.45166667,-65.9475,J0529.8-6556    ,RX J0529.7-6556,HMXB,0
82.80416667,-66.11833333, 053109-6609.2  ,RX J0531.2-6609,HMXB,0
82.90041667,-65.30444444,J0531.5-6518    ,RX J0531.6-6518,HMXB,0
83.13583333,-65.86133333,J0532.5-6551    ,SK -65   66,HMXB,0
83.205,-66.37055556, 0532-664       ,X LMC X-4,HMXB,0
83.77458333,-67.00444444,J0535.0-6700    ,RX J0535.0-6700,HMXB,0
83.91875,-66.86472222, 0535-668       ,RX J0535.6-6651,HMXB,0
83.97416667,-65.50944444,J0535.8-6530    ,RX J0535.8-6530,HMXB,0
84.7275,26.31583333, 0535+262       ,HD 245770,HMXB,1
84.735,-64.08361111, 0538-641       ,X LMC X-3,HMXB,1
84.91125,-69.74333333, 0540-697       ,X LMC X-1,HMXB,1
85.3425,-69.60805556,J0541.4-6936    ,[SG2005] LMC 12,HMXB,0
85.40458333,-68.54222222,J0541.5-6833    ,BI 267,HMXB,0
86.02625,-71.01388889,J0544.1-710     ,RX J0544.1-7100,HMXB,0
86.06458333,-66.56388889, 0544-665       ,1RXS J054450.0-663445,HMXB,0
88.97791667,28.785, 0556+286       ,HD 249179,HMXB,0
94.28041667,9.13694444, 0614+091       ,V* V1055 Ori,LMXB,0
95.68541667,-0.34583333, 0620-003       ,1A 0620-00,HMXB,0
102.0191667,-44.31511111,J0648.0-4419    ,HD  49798,HMXB,0
104.6125,-7.26388889, 0656-072       ,2E  1752,HMXB,0
112.2225,-26.10777778, 0726-260       ,V* V441 Pup,HMXB,0
116.8479167,-53.33277778, 0739-529       ,HD  63666,HMXB,0
117.1408333,-67.7525, 0748-676       ,V* UY Vol,LMXB,0
123.1183333,-31.2475,J0812.4-3114    ,V* V572 Pup,HMXB,0
128.9791667,-43.185, 0834-430       ,Ginga 0834-430,HMXB,0
128.9833333,51.31,J0835.9+5118    ,SAX J0835.9+5118,LMXB,0
129.3458333,-42.88583333, 0836-429       ,4U 0836-42,LMXB,0
135.52875,-40.55472222, 0900-403       ,V* GP Vel,HMXB,1
140.1116667,-55.20666667, 0918-549       ,4U 0919-54,LMXB,0
140.6445833,-63.295, 0921-630       ,V* V395 Car,LMXB,0
152.4416667,-58.29222222,J1008-57        ,GRO J1008-571,HMXB,0
153.4,-45.07638889, 1009-45        ,V* MM Vel,HMXB,0
159.3966667,-56.79972222,J1037.5-5647    ,LS 1698,HMXB,0
162.5329167,-59.88777778, 1048.1-5937    ,2E  2336,HMXB,0
169.5452083,48.03691667,J1118+480       ,V* KV UMa,HMXB,0
170.2383333,-61.91611111, 1118-615       ,WRAY 15-793,HMXB,0
170.3133333,-60.62333333, 1119-603       ,V* V779 Cen,HMXB,0
171.61125,-68.67583333, 1124-684       ,V* GU Mus,HMXB,0
176.8691667,-61.95388889, 1145.1-6141    ,1E 1145.1-6141,HMXB,0
186.6566667,-62.77027778, 1223-624       ,V* BP Cru,HMXB,1
190.5070833,-60.20166667, 1239-599       ,1H 1238-599,HMXB,0
191.8958333,-60.64333333, 1244-604       ,1A 1244-60,HMXB,0
192.4,-59.12166667, 1246-588       ,4U 1246-58,LMXB,0
194.405,-69.28916667, 1254-690       ,V* GR Mus,LMXB,0
195.3216667,-61.60194444, 1258-613       ,V* V850 Cen,HMXB,0
201.1095833,-62.01472222,J1324.4-6200    ,SAX J1324.4-6200,HMXB,0
201.6504167,-62.13611111, 1323-619       ,4U 1323-62,LMXB,0
209.5404167,-64.73472222, 1354-645       ,V* BW Cir,HMXB,0
215.30375,-62.69833333, 1417-624       ,4U 1416-62,HMXB,1
223.2054167,-59.82166667,J1452.8-5949    ,SAX J1452.8-5949,HMXB,0
224.5916667,-31.66888889, 1455-314       ,V* V822 Cen,LMXB,0
230.1704167,-57.16694444, 1516-569       ,V* BR Cir,HMXB,0
232.0716667,-61.88277778, 1524-617       ,V* KY TrA,LMXB,0
235.5970833,-52.38611111, 1538-522       ,V* QV Nor,HMXB,0
236.7858333,-47.66944444, 1543-475       ,V* IL Lup,HMXB,0
236.9783333,-62.56805556, 1543-624       ,V* QU TrA,LMXB,0
237.7449167,-56.47638889,J1550-564       ,V* V381 Nor,HMXB,0
239.455,-54.41444444, 1553-542       ,2S 1553-542,HMXB,1
240.2595833,-60.73805556, 1556-605       ,V* LU TrA,LMXB,0
241.4408333,25.8625, 1603.6+2600    ,V* UW CrB,LMXB,0
243.1791667,-52.42305556, 1608-522       ,V* QX Nor,LMXB,1
244.9795833,-15.64027778, 1617-155       ,V* V818 Sco,LMXB,0
247.01,-49.19027778, 1624-490       ,4U 1624-49,LMXB,0
248.07,-67.46194444, 1627-673       ,V* KZ TrA,LMXB,0
248.5016667,-47.39416667, 1630-472       ,X Nor X-1,LMXB,1
249.1166667,-47.82694444, 1632-477       ,INTREF   709,LMXB,0
250.23125,-53.75138889, 1636-536       ,V* V801 Ara,LMXB,0
251.44875,-45.61111111, 1642-455       ,4U 1642-45,LMXB,1
253.5005708,-39.84580556,J1655-40        ,V* V1033 Sco,HMXB,0
254.4575,35.3425, 1656+354       ,V* HZ Her,LMXB,1
255.0220833,-41.96222222,J170006-4157    ,2XMMi J170004.2-415804,HMXB,0
255.1995833,-41.67305556, 1657-415       ,NAME OAO 1657-41,HMXB,1
255.52625,-29.94583333, 1658-298       ,MXB 1658-298,LMXB,0
255.70625,-48.78972222, 1659-487       ,V* V821 Ara,HMXB,1
255.98625,-37.84416667, 1700-377       ,HD 153919,HMXB,0
256.4354167,-36.42277778, 1702-363       ,V* V1101 Sco,LMXB,1
256.56375,-43.03611111, 1702-429       ,X Ara X-1,LMXB,1
257.0608333,-25.09138889, 1705-250       ,V* V2107 Oph,HMXB,0
257.2279167,-44.10055556, 1705-440       ,4U 1705-44,LMXB,1
257.3758333,-26.6575,J1709-267       ,RX J1709.5-2639,LMXB,0
257.55125,-28.13166667,J1710-281       ,[KRL2007b] 225,LMXB,0
258.0958333,-40.84333333, 1708-408       ,4U 1708-40,LMXB,0
258.1416667,-37.64333333,J1712.6-3739    ,[KRL2007b] 228,LMXB,0
258.58,-34.04944444, 1711-339       ,4U 1711-34,LMXB,0
259.6005417,-40.49177778,J171824.2-402934,RX J1718.4-4029,LMXB,0
259.6975,-32.17777778, 1715-321       ,1H 1715-321,LMXB,0
259.90375,-25.0175, 1716-249       ,V* V2293 Oph,LMXB,0
260.9083333,-37.66166667,J1723-376       ,INTREF   776,LMXB,0
261.8883333,-30.80194444, 1724-307       ,4U 1722-30,LMXB,0
261.9125,-35.73444444, 1724-356       ,INTREF   782,LMXB,0
262.9341667,-16.96166667, 1728-169       ,V* V2216 Oph,LMXB,1
262.9891667,-33.83472222, 1728-337       ,NAME Slow Burster,LMXB,1
263.3504167,-33.38777778, 1730-335       ,[ZGV2011] 9,LMXB,0
263.3833333,-31.21666667, 1730-312       ,AX J1733.9-3112,LMXB,0
263.4875,-22.03527778, 1730-220       ,4U 1730-22,LMXB,0
263.5541667,-26.08583333, 1731-260       ,KS 1731-260,LMXB,0
263.9483333,-30.48222222, 1732-304       ,[ZGV2011] 1,LMXB,0
264.0083333,-27.42583333, 1732-273       ,RX J1735.9-2726,LMXB,0
264.6416667,-28.48333333, 1735-28        ,4U 1735-28,LMXB,0
264.7429167,-44.45, 1735-444       ,V* V926 Sco,LMXB,1
264.8754167,-29.70194444,J1739.5-2942    ,RX J1739.4-2942,LMXB,0
264.9833333,-30.98333333, 1737-31        ,INTREF   806,LMXB,0
265.2375,-28.31, 1737-282       ,2E 1737.5-2817,LMXB,0
265.6833333,-30.51416667, 1739-304       ,INTREF   814,LMXB,0
265.9458333,-29.43333333, 1740-294       ,NAME GC X-4,LMXB,0
