#ra,dec,mag
6.752569444444444,-16.71313888888889,-1.46
6.9770972222222225,-28.97208333333333,1.5
7.139858333333334,-26.393194444444443,1.83
6.378330555555555,-17.955916666666667,1.98
7.401586111111111,-29.30311111111111,2.45
6.338552777777777,-30.06338888888889,3.02
7.050408333333333,-23.833305555555555,3.02
7.028652777777777,-27.934833333333334,3.49
6.830686111111111,-32.5085,3.5
6.902208333333333,-24.18422222222222,3.89
6.6113888888888885,-19.25572222222222,3.95
7.24685,-26.772694444444443,4.01
6.903188888888889,-12.038583333333333,4.08
7.062636111111111,-15.63325,4.12
6.530936111111111,-23.418444444444447,4.34
6.935619444444445,-17.05425,4.36
7.311802777777777,-24.95438888888889,4.37
6.631508333333334,-18.237444444444446,4.42
7.237561111111111,-26.35252777777778,4.42
6.469505555555556,-32.58013888888889,4.47
6.584272222222222,-22.96483333333333,4.54
6.9270555555555555,-20.136583333333334,4.66
7.276388888888889,-27.88127777777778,4.66
6.654644444444445,-14.14575,4.82
6.892474999999999,-20.224249999999998,4.82
7.2769,-23.31561111111111,4.83
7.311216666666667,-24.558694444444445,4.88
7.370425,-19.016583333333333,4.94
6.262466666666667,-13.718388888888889,5.0
6.935180555555556,-14.043444444444445,5.0
6.294925,-16.815916666666666,5.15
6.523061111111111,-12.391916666666667,5.16
7.411163888888889,-16.201416666666667,5.18
6.402875000000001,-11.530000000000001,5.21
6.741241666666666,-31.070527777777777,5.23
6.629872222222223,-32.33988888888889,5.25
6.780858333333334,-14.426,5.28
6.929702777777778,-22.941444444444446,5.28
7.314244444444444,-26.58586111111111,5.29
6.7665,-14.796083333333334,5.3
7.412186111111112,-31.80891666666667,5.35
7.255855555555556,-30.68647222222222,5.36
7.391380555555556,-27.83427777777778,5.37
6.8160388888888885,-15.14472222222222,5.39
7.383527777777778,-31.92377777777778,5.4
7.111325,-11.294027777777778,5.41
7.392194444444445,-32.202083333333334,5.41
6.959436111111112,-24.631055555555555,5.45
7.172036111111112,-27.49152777777778,5.46
7.270716666666667,-15.585666666666667,5.46
6.356866666666666,-11.77325,5.48
6.303813888888889,-19.967,5.51
7.247552777777778,-27.037916666666668,5.58
6.976638888888889,-25.414166666666667,5.59
7.349525,-14.3605,5.59
7.452219444444444,-17.86486111111111,5.6
6.398863888888889,-25.577527777777778,5.61
6.576480555555555,-32.71625,5.62
6.758663888888889,-30.949,5.62
7.018319444444445,-25.21563888888889,5.64
6.888566666666666,-19.032777777777778,5.65
7.449858333333333,-23.086027777777776,5.65
7.1619527777777785,-25.231055555555553,5.69
6.661852777777778,-30.470027777777776,5.7
7.324466666666666,-16.394916666666667,5.7
6.60635,-18.65994444444444,5.71
6.544161111111111,-32.03044444444444,5.73
6.477566666666667,-32.37130555555556,5.74
6.839819444444444,-31.706083333333332,5.74
7.122941666666666,-23.840722222222222,5.75
6.477058333333334,-17.46602777777778,5.76
6.839380555555556,-17.084555555555553,5.77
7.218666666666667,-11.25136111111111,5.77
6.3163833333333335,-20.925611111111113,5.79
7.419011111111112,-13.751972222222221,5.79
7.423686111111111,-25.217777777777776,5.79
7.4643500000000005,-11.556861111111111,5.79
6.917427777777778,-20.40486111111111,5.8
7.194891666666667,-20.883111111111113,5.84
7.3512055555555555,-25.891666666666666,5.87
6.2523333333333335,-20.27225,5.88
7.203394444444444,-25.942611111111113,5.91
6.512858333333333,-27.769583333333333,5.92
6.756411111111111,-31.792916666666667,5.92
6.6129444444444445,-13.320972222222222,5.95
7.223336111111111,-22.67413888888889,5.96
6.268805555555556,-16.618000000000002,5.97
6.254919444444444,-18.476999999999997,5.99
7.159269444444445,-16.2345,6.0
7.348588888888888,-26.96386111111111,6.0
6.643174999999999,-16.8735,6.01
7.277327777777778,-23.311055555555555,6.02
6.313552777777778,-15.025,6.04
6.756494444444445,-23.4625,6.04
7.422216666666667,-21.982611111111108,6.04
6.284311111111111,-22.71461111111111,6.05
6.453188888888889,-25.855972222222224,6.05
6.660061111111111,-23.69563888888889,6.05
6.892711111111111,-28.538722222222223,6.05
7.3172,-19.280305555555554,6.11
6.783747222222222,-21.015416666666667,6.07
7.079733333333333,-22.03161111111111,6.09
7.114577777777777,-24.960583333333332,6.09
7.201144444444445,-30.821416666666668,6.1
6.6279972222222225,-12.984805555555555,6.11
6.405716666666667,-12.961944444444443,6.12
7.226791666666667,-27.356361111111113,6.12
6.889402777777777,-18.932916666666667,6.13
6.509691666666667,-13.148166666666667,6.16
7.4047888888888895,-22.912777777777777,6.2
6.961844444444445,-27.53752777777778,6.22
6.8987388888888885,-24.53875,6.23
7.169266666666667,-18.685583333333334,6.23
7.414133333333334,-19.01227777777778,6.24
6.7128000000000005,-22.448833333333333,6.26
6.994238888888889,-21.60288888888889,6.26
6.3961500000000004,-15.07125,6.27
7.011813888888889,-28.489472222222222,6.28
6.327275,-22.10313888888889,6.29
6.5463555555555555,-11.16638888888889,6.3
7.282561111111111,-30.896944444444443,6.3
6.387361111111112,-31.79030555555556,6.31
6.523336111111111,-32.86855555555556,6.31
6.828888888888889,-24.076027777777778,6.31
6.351508333333333,-11.817333333333334,6.32
6.4451833333333335,-14.603388888888889,6.32
6.591891666666666,-22.109,6.32
6.8435999999999995,-25.778416666666665,6.32
7.0023027777777775,-20.15844444444444,6.32
7.2325944444444445,-30.339805555555554,6.32
7.428608333333334,-31.738722222222222,6.32
6.883419444444444,-26.957472222222222,6.33
7.1001361111111105,-30.65572222222222,6.34
7.230108333333334,-22.905777777777775,6.34
7.263138888888889,-23.740305555555558,6.34
6.611408333333333,-22.61475,6.35
6.931883333333333,-31.790194444444445,6.36
6.968766666666667,-27.164388888888887,6.36
6.229258333333333,-23.862194444444444,6.37
6.412219444444445,-28.779805555555555,6.37
6.557411111111111,-20.92388888888889,6.39
6.978805555555556,-30.998055555555556,6.41
6.747766666666667,-27.342388888888888,6.43
6.5032805555555555,-19.21483333333333,6.44
7.296669444444444,-26.797555555555558,6.45
6.639697222222222,-23.580305555555555,6.48
7.109991666666667,-12.393944444444443,6.48
6.343102777777777,-23.637805555555556,6.49
6.212869444444444,-17.763222222222222,6.49
7.0053777777777775,-22.119055555555555,6.51
7.134288888888889,-11.923277777777777,6.56
7.030419444444444,-11.300916666666668,6.59
7.206716666666667,-27.474749999999997,6.61
6.903622222222222,-23.928333333333335,6.91
6.6024416666666665,-27.622305555555556,7.8
7.382858333333333,-25.76763888888889,7.95
7.269225,-16.716694444444443,7.97
6.427355555555556,-31.480944444444443,8.07
7.045169444444444,-11.453222222222221,8.14
6.471505555555556,-13.053083333333333,8.5
