#ra,dec,mag
16.490130555555556,-26.431944444444447,0.91
17.560147222222223,-37.10375,1.62
17.621980555555556,-42.99783333333333,1.86
16.005558333333333,-22.62161111111111,2.29
16.836177777777777,-34.29261111111111,2.29
17.708133333333333,-39.029916666666665,2.39
16.090619444444442,-19.80538888888889,2.62
17.512733333333333,-37.29575,2.7
16.598044444444444,-28.21597222222222,2.82
15.980866666666667,-26.114055555555556,2.89
16.353144444444446,-25.59275,2.9
17.79307777777778,-40.12697222222222,2.99
16.864511111111113,-38.047333333333334,3.0
17.83095833333333,-37.04336111111111,3.19
17.20255,-43.2385,3.32
16.872263888888888,-38.017472222222224,3.56
16.909752777777776,-42.36075,3.62
15.948080555555556,-29.214,3.87
16.11345277777778,-20.66913888888889,3.93
16.199927777777777,-19.460638888888887,4.0
16.60623888888889,-35.255361111111114,4.18
16.523038888888887,-34.70433333333334,4.24
17.609125000000002,-38.634861111111114,4.26
16.123416666666667,-20.868666666666666,4.31
16.34393888888889,-24.16927777777778,4.55
16.205058333333334,-27.926305555555558,4.58
15.89353611111111,-25.327083333333334,4.59
15.849652777777779,-25.75122222222222,4.63
16.899925,-42.362027777777776,4.7
16.072805555555554,-11.373055555555556,4.77
17.83641944444444,-40.09041666666667,4.78
16.503466666666668,-25.115166666666667,4.79
17.819575,-31.703194444444442,4.79
16.30497777777778,-28.61377777777778,4.8
17.080375,-34.12291666666667,4.83
17.946508333333334,-44.342194444444445,4.85
17.963280555555556,-41.71625,4.88
16.090716666666665,-19.801833333333335,4.9
16.2,-10.064194444444444,4.93
16.055741666666666,-25.86513888888889,4.96
17.031291666666664,-32.143388888888886,5.03
17.178430555555558,-44.55755555555555,5.06
16.07286111111111,-11.371666666666668,5.07
16.183925,-29.415999999999997,5.09
17.40363611111111,-44.1625,5.1
16.490055555555557,-26.430833333333336,5.2
16.859366666666666,-41.23052777777778,5.23
16.230808333333332,-11.837722222222222,5.24
16.528269444444444,-41.81713888888889,5.31
16.13542222222222,-26.326666666666668,5.35
16.400344444444443,-39.193,5.37
15.898311111111111,-24.533083333333334,5.38
15.898852777777778,-23.978027777777775,5.41
16.408825,-37.56597222222222,5.42
15.976352777777779,-24.831416666666666,5.43
16.202025,-8.547583333333334,5.43
16.606269444444447,-42.85886111111111,5.46
16.90051111111111,-41.80638888888888,5.46
16.779991666666664,-39.37688888888889,5.48
16.953102777777776,-33.25947222222222,5.48
16.260313888888888,-8.36825,5.49
16.164613888888887,-33.54569444444444,5.5
16.325744444444446,-30.906777777777776,5.53
17.28436388888889,-32.66269444444444,5.53
17.714191666666665,-36.945499999999996,5.53
17.255347222222223,-33.54841666666667,5.53
17.889852777777776,-34.89511111111111,5.58
15.925027777777776,-26.265916666666666,5.63
16.745166666666666,-40.83961111111111,5.64
17.204505555555556,-39.50677777777778,5.66
16.20445833333333,-28.417194444444444,5.67
17.578469444444444,-32.58166666666667,5.69
16.12678888888889,-12.745333333333333,5.75
17.313288888888888,-44.129694444444446,5.76
16.916252777777775,-41.15086111111111,5.78
16.47068333333333,-37.179805555555554,5.79
16.41104722222222,-29.704666666666665,5.82
16.640638888888887,-43.39838888888889,5.83
15.961241666666666,-20.983027777777775,5.84
16.695972222222224,-33.14561111111111,5.84
16.90748333333333,-42.47888888888889,5.84
17.552052777777778,-41.17305555555555,5.84
17.872155555555555,-34.41683333333333,5.84
16.188269444444444,-41.1195,5.86
16.145480555555555,-23.68536111111111,5.87
15.910983333333334,-25.243666666666666,5.87
17.745002777777778,-42.729305555555555,5.87
17.870461111111112,-34.799194444444446,5.87
16.101772222222223,-23.606250000000003,5.9
16.239547222222225,-33.01105555555556,5.91
17.064130555555558,-38.152499999999996,5.91
17.315655555555555,-34.989583333333336,5.91
17.381869444444444,-37.22069444444445,5.91
16.651455555555554,-37.21725,5.93
17.146541666666668,-30.403555555555553,5.93
17.859047222222223,-40.772333333333336,5.94
16.895122222222223,-43.050888888888885,5.95
17.010275,-35.933972222222216,5.95
17.216266666666666,-32.43833333333333,5.95
17.260022222222222,-38.59294444444445,5.95
16.31678611111111,-14.872833333333334,5.97
17.105611111111113,-37.22752777777778,5.98
17.48224722222222,-36.778277777777774,5.98
16.75005833333333,-28.509666666666668,5.99
17.898547222222223,-34.752722222222225,6.0
17.682930555555558,-32.214444444444446,6.01
17.882666666666665,-35.62419444444444,6.03
16.729888888888887,-38.15625,6.05
16.981180555555554,-37.620416666666664,6.05
17.88033888888889,-34.11483333333334,6.05
17.918897222222224,-36.47563888888889,6.05
16.24817777777778,-25.476916666666664,6.06
16.902794444444442,-41.825027777777784,6.06
16.04427777777778,-29.135777777777776,6.07
16.523019444444444,-26.537555555555556,6.07
16.26430277777778,-14.849111111111112,6.09
17.272688888888887,-35.749472222222224,6.09
17.635680555555556,-42.88019444444444,6.09
16.85001111111111,-37.514472222222224,6.1
17.907533333333333,-34.466722222222224,6.1
16.94384722222222,-30.580027777777776,6.1
16.34239722222222,-39.43022222222222,6.11
17.107880555555557,-35.45102777777778,6.13
16.731691666666666,-41.113305555555556,6.14
17.417408333333334,-34.696,6.14
17.888772222222222,-34.730805555555555,6.14
15.908366666666668,-27.338583333333332,6.15
17.540177777777778,-34.279333333333334,6.16
16.15882222222222,-32.648944444444446,6.18
16.943327777777778,-40.82344444444445,6.18
17.09679722222222,-44.105111111111114,6.18
17.881241666666668,-41.99605555555556,6.19
17.264266666666668,-30.21061111111111,6.2
16.927169444444445,-45.10297222222222,6.2
16.72936111111111,-41.11913888888889,6.21
16.065197222222224,-24.726333333333333,6.22
17.624144444444443,-38.06636111111111,6.26
17.084830555555556,-45.50205555555556,6.28
17.966055555555556,-39.136472222222224,6.28
16.899680555555555,-41.99433333333334,6.29
16.318808333333333,-20.218027777777777,6.29
16.932705555555557,-33.50688888888889,6.29
16.19961111111111,-19.449722222222224,6.3
16.917591666666667,-42.090833333333336,6.3
17.204597222222223,-38.82241666666667,6.3
17.48357222222222,-43.973888888888894,6.3
16.117647222222224,-14.071333333333333,6.32
16.131083333333333,-24.46227777777778,6.32
16.24425,-18.535333333333334,6.32
17.377561111111113,-37.80463888888889,6.33
16.909983333333333,-30.587333333333333,6.34
