Date_Observed,ra,dec,SIMBAD_Name,Source_Type
08-09-2018,311.0407,-10.723457,Mrk  509,Seyfert_1
09-09-2018,308.063667,37.637472,V* V2246 Cyg,HMXB
10-09-2018,274.005787,-14.036283,V* NP Ser,LMXB
11-09-2018,248.506708,-47.393,X Nor X-1,LMXB
11-09-2018,356.77015,51.70497,QSO B2344+514,BLLac
12-09-2018,237.370539,47.104903,0,0
12-09-2018,83.633083,22.014494,M   1,SNR
12-09-2018,237.370539,47.104903,0,0
13-09-2018,83.633083,22.014494,M   1,SNR
13-09-2018,12.08,85.223917,Cl* NGC  188    DGV     702,Star
14-09-2018,83.633083,22.014494,M   1,SNR
15-09-2018,23.461667,30.726667,IFM-B 1049,Star
17-09-2018,248.506708,-47.393,X Nor X-1,LMXB
17-09-2018,254.457542,35.342333,V* HZ Her,LMXB
18-09-2018,248.811667,38.1525,0,0
19-09-2018,24.17395,15.78366,[CHP2004] J013641.7+154701,X
20-09-2018,254.457546,35.342357,V* HZ Her,LMXB
21-09-2018,12.08,85.223917,Cl* NGC  188    DGV     702,Star
21-09-2018,254.457542,35.342333,V* HZ Her,LMXB
23-09-2018,57.604029,17.246509,V* V471 Tau,EB*
27-09-2018,248.811667,38.1525,0,0
28-09-2018,267.60175,-29.037611,SAX J1750.8-2900,LMXB
01-10-2018,26.012292,61.888972,EM* GGA   83,Be*
01-10-2018,294.998792,-30.96475,M  55,GlCl
02-10-2018,332.880708,18.092833,BD+17  4708,SB*
02-10-2018,340.611792,-50.066917,HE 2239-5019,Pec*
02-10-2018,39.960829,18.02428,NGC  1030,GinGroup
02-10-2018,322.680792,-60.00183,IC 5110,IG
02-10-2018,322.680792,-60.00183,IC 5110,IG
03-10-2018,310.463163,-32.43523,V* AT Mic,Eruptive*
04-10-2018,69.956833,-68.150389,1ES 0439-68.2,CataclyV*
05-10-2018,83.633208,22.01446,M   1,SNR
05-10-2018,316.7575,42.236111,NGC  7027,PN
05-10-2018,314.637079,-49.28472,MCL 26 205503.0-492842,GroupG
06-10-2018,312.258667,30.404972,0,0
07-10-2018,311.885958,30.741139,TYC 2687-2493-1,Star
07-10-2018,312.426,29.988861,0,0
08-10-2018,312.791042,30.071333,0,0
09-10-2018,312.258667,30.404972,0,0
10-10-2018,312.881625,29.067722,0,0
11-10-2018,311.885958,30.741139,TYC 2687-2493-1,Star
12-10-2018,312.426,29.988861,0,0
13-10-2018,284.148642,-37.91015,PSR J1856-3754,Pulsar
14-10-2018,83.633208,22.01446,M   1,SNR
14-10-2018,83.428,22.015,[SPB96]  854,UV
15-10-2018,359.253083,-34.680539,ESO 349-9,GinCl
16-10-2018,359.782958,-30.627969,QSO B2356-309,BLLac
18-10-2018,290.884121,-21.07593,[VV2006] J192332.2-210433,QSO
21-10-2018,65.001675,-54.937938,NGC  1566,Seyfert_1
22-10-2018,237.391917,70.348089,0,0
23-10-2018,174.11,70.1575,6C 113337+702604,BLLac
24-10-2018,174.11,70.1575,6C 113337+702604,BLLac
25-10-2018,333.879167,-17.734722,LBQS 2212-1759,QSO
26-10-2018,2.469917,-18.270139,HE 0007-1832,Pec*
26-10-2018,2.469917,-18.270139,HE 0007-1832,Pec*
26-10-2018,63.938042,-55.59225,NGC  1549,GinPair
26-10-2018,63.938042,-55.59225,NGC  1549,GinPair
26-10-2018,63.938042,-55.59225,NGC  1549,GinPair
26-10-2018,64.476458,-55.93289,IC 2058,EmG
26-10-2018,64.476458,-55.93289,IC 2058,EmG
26-10-2018,64.476458,-55.93289,IC 2058,EmG
26-10-2018,64.043629,-55.78014,NGC  1553,GinPair
26-10-2018,64.043629,-55.78014,NGC  1553,GinPair
27-10-2018,6.022329,-72.081444,PSR J0024-7204V,Pulsar
28-10-2018,356.757079,29.47111,APG  86,PairG
28-10-2018,355.637292,-65.9565,NGC  7733,Seyfert_2
